abandoned	bigadZA_huA/KAlI/pariwyakwa/CodZA_huA/
excitement	uwsAhavarXaka/uwwejiwa_ho_kara/uwwejanA/
excite	uwsAhiwa/uwwejiwa/uwwejiwa_kara/jAgqwa_kara/
exclude	nikAla_xe/hatA_xe/nikAla/
exclusive	ananya/nivAraka/
excoriate	PatakAra/kadI_AlocanA_kara/
execute	prANa_xaNda_xe/vEXa_kara/kAryAnviwa_kara/
execution	praBAva/kAryAnvayana/mqwyuxaNda/bajAnA/
executive	prabaMXakAriNI/praSAsaka/
exempt	Bukwa/mukwa_kara/
exercise	pada/prayoga_kara/prayoga/aByAsa/ciMwA_meM_pada/vyAyAma/vyAyAma_kara/
exert	kara/lagA/prayoga_kara/Aropiwa_kara/bala_lagA/pariSrama_kara/
exhaust	WakA_xe/Waka_jA/samApwa_kara_xe/nikAsa/pUrNa_varNana_kara/Kawma_kara_xe/recana/recaka_yaMwra/Kawma_ho_jA/
exhibit	praxarSana_kara/praxarSiwa_kara/sabUwa/praxarSiwa_vaswu/praxarSana/xiKA/xarSA/
exile	nirvAsana/pravAsa/nirvAsI/xeSa_nikAlA/nirvAsiwa_kara/
existing	varwamAna/
exist	hE/ho/aswiwva_ho/uwpanna_ho/jIviwa_raha/
expand	PUla/baDa/viswAra_kara/PEla/PElA/
expect	prawIkRA_kara/apekRA_kara/laga/ASA_kara/ummIxa_kara/apekRiwa_ho/
expedient	yogya/upAya/
expedition	SIGrawA/aBiyAna/
expensive	mahazgA/
experience	anuBavI/anuBava/sAmanA_kara/anuBava_kara/
experiment	prayoga/parIkRA_kara/
expert	viSeRajFoM_ke_wahawa/nipuNa/viSeRajFa/
expire	buJa_jA/avaXi_samApwa_ho/gujara_jA/
explain	kA_kAraNa_bawA/bawA/kA_spaRtIkaraNa_kyA_hogA/samaJA/
explode	Poda/visPotiwa_kara/uwwejiwa_ho_jA/Aga_babUlA_ho_jA/baDa_jA/galawa_sAbiwa_kara/baxala_jA/PUta/
exploit	kAranAmA/SoRaNa_kara/upayoga_kara/
explore	mahasUsa_kara/anveRaNa_kara/
explosion	acAnaka_vqxXi/visPota/gussA/
explosive	Baka_se_udZa_jAne_vAlA/udZAU/
export	niryAwa/niryAwa_kara/bAhara_Beja/
expose	rAja_Kola/sAmane_KulA_CodZa_xe/Kola/parxAPASa_karane_wAlA_leKa/Kule_ho/saMparka_meM_lA/
exposure	meM_bahuwa_samaya_pade_rahanA/KA/
expression	BAvABivyakwi/hAva-BAva/paxa/Sabxa/BAva/aBivyakwi/
expressive	sUcaka/BAvABivyakwipUrNa/
express	SIGra_jAne_vAlA/xe/jAhira_kara/Beja_xe/nikAla_le/vyakwa_kara/eksapresa/
extend	PEla/jA/pahuzca/asara_ho/avaXi_baDZA/avaXi_baDZavA/xe/lAgU_ho/yogyawA_kA_upayoga_kara/kara/baDZAnA/upayoga_kara/viswqwa_kara/baDZA/
extent	gaMBIrawA/sImA/haxa/
exterior	bAhara_kI_ora/bAharI/bAhya_rUpa/
extinguish	buJA_xe/buJA/Kawma_kara_xe/
extract	uxXaraNa/sAra/prApwa_kara/uKAdZa/le/nikAla/
extra	aXika/awirikwa_vaswu/
extreme	aMwima/awi/awyaXika/kaTora/suxUra/kaRtaxAyaka/awivAxiwA/carama/sirA/
eye	AzKovAlA/pahacAna/XyAna/najZara_gadZAe_hue/saBI_kI_najZara/xqRti/PaMxA/najZara/AzKa/najZariyA/xeKa/
fabricate	banA/gaDZA/
fabric	saMracanA/DAMca/kapadZA/
fabulous	SAnaxAra/lAjavAba/
facade	aliMxa/muKOtA/xiKAvA/
facetious	majZAkiyA/hazsAnevAle/
face	sAmanA/kisI_kaTina_parisWiwi_kA_sAmanA_karanA_yA_svIkAra/muzha_kara/sAmanA_kara/Palaka/prawiRTA/aBimuKa/kI_ora_muKa_karanA/rUpa/ora/mote_akRara/cehrA/sammuKa_Palaka/sirA/ho/muKOtA/ceharA/
facility	suviXA/vyavasWA/kI/
factionism	gutabAjZI/
faculty	yogyawA/iMxriya_kI_Sakwi/viBAga/safkAya/
fade	PIkI_padZa_jA/gAyaba_ho_jA/wabxila_ho_jA/vilIna_ho_jA/nagaNya_mahawva_kA_ho_jA/XuzXalI_para_cukA/mita_jA/lupZwa_hone_laga/
fail	asaPala_ho/asaPala/kamI/na_hone_para/
faint	nirbala/mUrCA/mUrCiwa_ho/halkI/
fairly	kAPI_haxa_waka/uciwa/kAPI/
fair	uciwa/acCA_bana_jA/niRpakRa/melA/
fairy	apsarA_jEsI/parI/
fake	jAlI/XoKebAja/jAlI_banA/
fallow	kuCa_lAla_yA_pIlA/parawI/jowa/baMjara_aXIna/
fall	pawana/BArI_girAvata/pICe_hata/piCadZa_jA/XoKA_KA/mugXa_ho/sahamawa_ho/AkramaNa_kara/JagadZA_kara/tUta/gira_padZa/nIce_gira/meM_Pazsa/se_gira/gira/asaPala_ho/girAvata/SurU_kara/pahAdZI_ilAkA/kAta_girA/padZa/padZa_jA/dAle_jA/ho_jA/kama/gira_jA/tukadZA-tukadZA_ho/parAjiwa/giranA/
falsification	jAlasAjZI/anyaWAkaraNa/
falter	ladZaKadZAwA_huA/hicakicA/
fame	KyAwi/kA/kIrwi/Soharawa/prasixXa/prasixXi/
familiarity	jAnakAri/jAnA_pahacAnA/AwmIyawA/apanApana/hela_mela/
familiarize	pariciwa_kara/pariciwa_ho/
familiar	pariciwa/supariciwa/sarvAXika_supariciwa/jAnA_pahacAnA/jAnA-mAnA/
famish	BUKa_se_pIdZiwa/BUKoM_mara/
famous	prasixXa/maSahUra/
fancy	AkarRaka/SOkIna/asAmAnya/kalpanA/pasanxa_kara/
fantastic	anoKA/axBuwa/
fan	uwwejiwa_kara/BaDakAyA_jA/panKA/praSaMsaka/PElA/xarSaka/panKA_kara/
fare	kirAyA/Age_jA/
farm	KewI/Kewa/KewI_kara/
farther	xUra/Ora_xUra/
far	se_xUra/aba_waka/Word_mng/Age/kI/xUra/kahIM_jyAxA/
fascinating	AkarRaka/luBAvanA/manohara/manorama/xilacaspa_ho/manamohaka/
fascination	uwsukawA/AkarRaNa/
fashion	warIkA/PESana/viSeRa_prakAra_kI_Akqwi_praxAna_kara/
fasten	bAMXa/dAla/cipakA_xe/gadA_xe/baMxa_kara_xe/pehana/bazXA/baMxa/
fast	GaniRta/wejI_se/aXika_weja/upavAsa/weja/vrawa_raKa/
fatal	nirNAyaka/KawaranAka/GAwaka/
fate	BAgya_meM_liKA_huA/BAgya/
father	piwA/piwA_bana/
fathom	WAha/WAha_le/
fatigue	WakAvata/WakA/
fat	motA/BArI/carbI/
fault	BUla/kamI/
favourable	anukUla/hiwakArI/
favour	pakRa/lokapriya/sahAyawA/samarWana/svIkArya/anugraha_prApwa_karanA/kqpA/samarWana_kara/
fawn	KAkI_raMga/prema_jawalA/
fax	PEksa_yaMwra/PEksa_kara/
faze	kRubXa_kara/kRubXa_ho/
fear	ke_liye_dara/ASaMkA_kara/dara/
feast	uwsava/Ananxiwa_kara/samAroha/saMwoRajanaka/Boja/Bojana_kara/
featherbed	paMKoM_se_BarA_gaxxA/AsAna_banA/
feather	paMKa/paroM_se_Daka/
feature	sinemA_kI_Pilma/viSeRa_rupa_se_praxarSiwa/muKAkqwi/praXAnawA_xe/viSeRawA/viSiRta/lakRaNa/
feed	pAla/Bojana_grahaNa_kara/KAnA/KAnA_KilA/
feel	anuBUwi/mahasUsa_ho/mahasUsa_kara/svasWa_mahasUsa_kara/se_kAPI_praBAviwa_ho/cAha/pInA_cAha/karanA_cAha/KuSa_kiyA_gayA/sAvaXAnI_se_kAma_kara/EsA_lagA/BAvanA/laga/mahasUsa_ho_rahA/jAnakArI/anuBava/
fellow	sAWI/Pelo/
fell	laga/so_jA/tUta_jA/pahAdZI_ilAkA/kAta_girA/gira/
female	mAxA/swrI/
fence	walavAra_se_ladZAI_karanA/bADZa/walavAra_yA_gaxA_kI_ladZAI/
fend	prbaMXa_kara/roka/bacAnA/
ferment	KamIra/uPAna_raha/kinvaNa/Parmeztizga_rUma/uwwejanA_ki_sWiwi/KamIra_uTA/
ferret	nevale_kI_jAwi_kA_jAnavara/DUMDa/AKeta/
ferry	badZI_nAva/eka_sWAna_se_xUsare_sWAna_pahuzcA/
fetch	lagA/pahuzca/xAma_para_bika/vApasa_le_A/le_A/
fete	uwsava/sawkAra_kara/
fetter	bedZI/baMXana_bAzXa/
feud	kalaha/sAMGAwika_viroXa/
fever	buKAra_se_graswa/buKAra/awivyAkula/awivyAkulawA/
few	kuCa/
fiat	PiyAta/AXikArika_AjFA/
fib	JUTa_bolanA/gappa_mAra/
fiddle	nagaNya/KilavAdZa_kara/vyarWa_kI_bAwa_kara/vAyalina_nAmaka_bAjA/
fidget	culabulA/
field	Kewa/PZIlda/pakada/kRewra_rakRaNa_kara/kRewra_meM_uwAra/mukAbalA_kara/mExAna_meM_uwara/mExAna/bala/kRewra/
fiercely	pracaNda_rUpa_se/jamakara/
fierce	BayaMkara/BIRaNa/
fifteen	panxraha/
fifteeth	pacAsavAz/
fifth	pAzcavAz/
fifty	pacAsa/
fight	lada/ladZAI/ladAI_kara/
figure	prasixXa_vyakwi/alaMkqwa/samaJa/anumAna_kara/mUrwi/samAXAna_kara/pawA_lagA/samAXAna_ho/ciwra/A/AzkadZA/aMka_gaNiwa/vyakwi/dOla/Akqwi/prawimA/AMkadA/aMka/kalpanA_kara/
filament	reSA/PilAmeMta/
file	sUcanA_saMBAla/paMkwi_meM_aMxara_A/paMkwi_meM_bAhara_jA/Gisa_dAla/sUcanA_xarja_kara/
filibuster	kArya_meM_vilamba_karavAne_saMbaMXI/kArya_meM_vilamba_karavAnA/
fill	BarAvana/AvaSyaka_jAnakArI_xe/asWAyI_wOra_para_kisI_kA_kAma_kara/pUrA_kara/BarA_huA_ho/Bara/saMwuRti/
film	JillI_se_Daka/sinemA/JillI/Pilma_ke_rUpa_meM/Pilma/
filter	CanA_huA/CAna_nikAla/Cana/
filthy	gaMxA/malina/
finally	aMwawaH/AKirakAra/AKira/meM/
final	aMwima/aMwima_caraNa/bAwa_mAnI_jA/PAinala/
finance	Xana/AmaxanI/ArWika_prabanXa_kara/ArWika_vyavasWA/ArWika_prabanXa/
financial	viwwIya/ArWika/
find	jAzca_pariNAma/saccAI_kA_pawA_lagA/PEsalA_kara/pawA_kara/pawA_lagA/pA/Koja/jFAwa_kara/Koja_kara/DUzDa/xeKa/DUDa/
fine	jurmAnA/pUrNa_vivaraNa_meM_jA/sabase_acCA_samaya/sunxara/mahIna/bArIka/jurmAnA_lagA/baDZiyA/
finger	XIre_se_CUnA/uMgalI/uMgalI_se_CU/
finish	pUrNa/mAra_dAla/anwa/pUrNa_kara/samApwa_kara/
finite	sImiwa/parimiwa/
fire	uwsAhiwa_ho/baMxUka_calAnA/agni_prajjvalana/nikAla_xe/golI_calA/saMGarRa_virAma/Aga/xAga/
firmly	xqDawApUrvaka/niSciwa_rUpa_se/
firm	xqDZa/atala/xqDZa_kara/suxqDa/sWirawA_honA/vyApArika_kaMpanI/
first	praWama/pahalA/pahale/pahalI_bAra/sarvapraWama/
fish	maCalI_pakadZanA/DZUMDZa_nikAla/maCalI/maCalI_pakadZa/
fissure	PatA_huA/xarAra/
fitting	upayukwa/caDAnA/
fit	samA_xenA/saBI_jZarUrawa_kI_cIjZeM_muhEyA_karA/waMxuruswa/xOrA/samA/mApa/sAmAyika/sAmAna/yojanA_banA/anurUpa_banA/
fivefold	pAzca_gunA/
five	pAzca/
fix	sWira_kI_huI/waya_kara/niSciwa_kara/sWApiwa_kara/bulA/sulaJA/sWira_ho/sWira_raha/sWira_kara/sWira/niyawa_kara/yAxa_kara/Ayojiwa_kara/banA/TIka_karA/kaTinAI/
fizzle	KZawma_ho_jA/asaPala_ho/sanasanA/
fizz	gEsa_nikalane_kI_PuPakAra/AkrAmaka_ruKa/
flag	rukane_kA_saMkewa_xe/JaNdA/saMkewa_xe/PIkA_pada_rahA/tEga_kara/DIlA_pada/niSAna_lagA/PIkA_padZa/
flail	mUsala/jZora_se_hilA/jZora_se_hila/
flair	viSiRta_yogyawA/aMwaH_preraNA/svaBAva/
flake	tukadZoM_meM/tukade-tukade_ho_jA/CUta/Daha_jA/kuCa_BI_ultA-sIXA_kara/PAhe/sUkRma_tukadZA/parawa_kara/
flame	lapata/Avega/Aga_kI_lapata/Aga_sI/jvAlA/Aga_kI_jvAlA/
flank	pArSva/bIca_meM/ke_bagala_meM/sImA/
flannel	PalAlEna/DIla_DAla_kara/
flap	PlEpa/hilA/PadaPadA/
flare	Aga_BadZaka/camaka/PElAva/
flash	avaroXa/xiKa/SAna_xiKA/awIwAvalokana_kara/smaraNa_kara/kRaNa/PlESa/Jalaka/sPura_kRaNaxIpwi/wIvra_gawi_se_jA/kOMXa/wejZI_se_prasAriwa_kara/AkarRaka_vaswu/camaka/
flatten	samawala_kara/capatA/samawala_ho/
flatter	cApalUsI_karane_vAlA/cApalUsI_kara/
flat	sapAta/PlEta/girA_xenA/ekaBAva/paMcara/samawala/
flavour	svAxiRta_banAne_ke_liye_milAyA_gayA_paxArWa/svAxiRta_yA_sugaMXiwa_kiyA_huA/praBAva/ko/raMga/jAnakArI/BAva/jAyakA/Jalaka/svAxa/svAxiRta_banA/
flaw	xoRa/xoRayukwa_ho/wruti/nuksa/KAmI/
fleck	ciwwI_dAla/ciwwI/Xabbe_dAla/
fleece	jAnavaroM_ke_SarIra_kI_Una/Xana_haWiyA/
fleet	kRaNaBaMgura/jahAjI_bedZA/wejZa/
flesh	mAMsa/viswAra_meM_jA/
flex	bijalI_kA_wAra/JukA/
flicker	buJa_jA/Jalaka/PadZaPadZA/camaka/ASA_kI_kiraNa/
flick	kAgajZa_palata/baxala/Jatake_se_hatA/Jatake_se_mAra/
flight	udZAna/vimAna/kalpanA_kI_udZAna/udAna_ke_xOrAna/
fling	SIGrawA_se_kapadZe_uwAra/SIGrawA_se_kapadZe_pahana/PeMka/Ananxiwa_honA/
flip	nApasaMxagI_xiKAnA/wAlASa_kara/palata/Plipa/uCAla/
flirt	iSkabAjZa/iSkabAjZI_kara/
flit	BAga_jAnA/iXara_uXara_udZa/
float	asWira/PElA/wEra/wErane_vAlA_paxArWa/wErawA/wErawA_ho/svawanwrawApUrvaka_GUma/bahA/
flock	gaxxoM_me_Barane_kI_mulAyama_vaswu/JuMda_meM_A/JuNda/
flog	mAranA_pItanA/bahuwa_mehanawa_kara/kodZe_mAra/
floodlight	wejZa_roSanI_vAlI_lAita/wejZa_roSanI_se_prakASiwa_kara/
flood	bADZa_AnA/bADZa_se_praBAviwa/bADZa/weja_roSanI_vAlI_lAita/bAhara_A/BaramAra_ho/
floor	ParSa/maMjila/harA_xe/wala/
flop	asaPala/gira/pita_gaI/asaPala_ho_jA/Waka_kara_bETa_jA/pataka_xe/PadZaPadZA/PadZaPadZAne_kI_AvAjZa/
flounce	JAlara_lagA_huA/JAlara/AveSa_meM_cala_xe/
flounder	eka_waraha_kI_CotI_samuxrI_maCalI/ataka/
flourish	alaMkaraNa/saPala_ho/
flour	AtA/Ate_meM_lapeta/
flower	baDZanA/puRpiwa/PUla/PUloM_kA_Kila/
flow	pravAhiwa_ho/se_uBara/jZAhira_ho/bAhara_nikala/pUrNa_pravAha/pravAha/baha/bahAva/
fluctuate	uwAra-caDZAva/asWira/
fluctuation	asWirawA/uwAra-caDZAva/
fluff	PulA/roAz/
fluid	warala/xrava_paxArWa/
flurry	acAnaka_honA/hawapraBa_ho/
flush	PlaSa/Avega/lAlImA/bahAra/samawala/BarapUra/lAla_kara_xe/lAla_ho_jA/bahA_xe/sAPZa_kara/bAhara_nikAla/prakRAlana/samqxXa/baha_jA/
fluster	GabadZAhata/GabadZA/
flute	bArIka_kArIgarI/swamBa_Axi_para_kI_gayI_kArIgarI/bAzsurI/
flutter	Japaka/JapakA/GabarAhata/halacala/bAjZI_lagA/uwwejanA/PadZaPadZA/
flux	niraMwara_parivarwana/piGala_jA/pravAha/piGalA_xe/Plaksa/
fly	udAna/makKI/ravAnA_ho/udZAna/wejZa_raPwAra_se_nikala/acAnaka_hamalA_kara_xe/
foal	GodZe_kA_CotA_baccA/GodZI_kA_baccA_pExA_ho/
foam	Poma/JAga/JAga_nikala/
fob	manA_kara/bevakUPa_banA/CotI_cena/
focus	sAPa_xiKanA/keMxra_biMxu/keMxriwa_ho/nABiyAz/XyAna_keMxriwa/keMxriwa/XyAna_keMxriwa_kara/Pokasiwa_kara/
fog	koharA/kohare_se_Gira/
foil	nAkAma_kara/pawalI_pawwI/pannI/parNikA/
fold	PeMta/waha_kara/baMxa/lapeta/moda/moda_kara/
folksy	sIXA/miwrawApUrNa/
folk	loka/varga_viSeRa/
following	nimnaliKiwa/agalA/loga/nimnliKiwa/hone_para/
follow	aglA/hone_para/Ora_aXika_jAnakArI_prApwa_kara/aMwa_waka/jAnakArI_le/anusaraNa_kara/apanA/isa_prakAra/niyamAnusAra/nimna_prakAra_se/jArI_raKa/CA/pAlana_kara/pICA_kara/
foment	ukasA/BadZakA/
fond	SOkina/priya/
foolish	mUrKA/mUrKa/mUrKawApUrNa/
fool	mUrKa/mUrKa_banA/
foot	pEra/PUta/nicalA_sirA/sWiwi/pAzva/nicale_BAga/walahatI/pExala/
forage	DZUzDa/cArA/Koja_meM_GUma/
forbear	XErya_raKanevAlA/xUra_raha/
forbid	aprIwikara/niReXa_lagA/manA_kara/
force	balapUrvaka/balakqwa/jabaraxaswI_KilA/nikAla/majabUra_kara/rokanA/
ford	uWalI_jagaha/pAra_kara/
forearm	hAWa/wEyArI_kara/
forecast	pUrvAnumAna/pUrvAnumAna_lagA/
foreign	vixeSI/
foremost	mahawvapUrNa/prasixXa/sarvAXika/
foresee	pUrvaxqRta/pUrvAnumAna_lagA/
fore	Age_kA/Age/
forever	hameSA_ke_lie/bahuwa_aXika_samaya/sadEva/
forfeit	jurmAnA/Ko_bETa/
forget	yAxa_nahIM_A/
forge	BattI/wapAkara_gaDZa/nakalI/Age_baDZa/
forgive	kRamASIla/mAPa_kara/
fork	kAzte_jEsA/axA_kara/xorAhA/xviSAKiwa_BAga/kAzte_se_nikAlA/viBAjiwa_ho/muda/kAztA/nikAla_xe/
forlorn	sUnA/kRINa/mAyUsa/lAcAra/
formally	OpacArika_rUpa_se/viXivaw_rUpa_se/
formal	OpacArika/viXivawa/rUpAwmaka/suvyavasWiwa/
former	BUwapUrva/
formidable	vikata/xurjeya/
form	rUpa/banA/sUwra/prakAra/PArma/
formula	PArmUlA/sUwra/viXi/purAnA_PArmUlA/
forte	jZora_se/nEpuNya/
fortune	Porcyuna/BAgya/sOBAgya/Xana/saPalawA/
for	pahalI_bAra/agalI_bAra_ke_liye/AKirI_bAra/ke_liye/kI_ora_se/ke_bAxa/ke_hisAba_se/meM/ke_pakRa_meM/se/ke_baxale_meM/kI_vajaha_se/waka/kA/kI/se_aXika/kyoMki/
forward	agalA/Age_kI_ora/baDZA/
foul	niyamaviruxXa/malina_kara/baxabUxAra/
foundation	AXAra/saMsWA/sWApanA/sixXAnwa/buniyAxa/PAuMdesana/nIMva/
founder	saMsWApaka/asaPala_ho_jA/
found	sWApiwa_kara/found/sWApanA_kara/AXAriwa/mila/find/pA/prApwa_kara/pawA_cala/
fourteenth	cOxahavAz/
fourteen	cOxaha/
fourth	cOWA_xina/cOWA/
four	cAra/
fox	lomadZI/paSopeSa_meM_dAla/
fraction	KaMda/aMSa/WodA/BAga/
fracture	tUtanA/tUta_jA/wodZa_xe/wodZa_le/haddI_tUtanA/
fragile	kamajZora/BaMgura/
fragment	tukadZA/wodZa/
frame	DAzcA/rUpa_xe/banA/Prema/
franchise	aXikAra/viSeRa_AjFA_lI_huI_vaswu_beca/
frank	spaRtavAxI/tikata_lagA/
fray	prawisparXA/Waka/
freak	sanakI/asAmAnya_vyakwi/uwwejiwa_ho_jA/Ananxiwa_kara_xe/BAgyavaSAw/ajIba/awyaXika_prawikriyA/
freckle	ciwwe_padZe_hue/ciwwI/
freedom	svacCaMxawA/svawaMwrawA/
free-fall	BArI_girAvata/
freely	mukwa_rUpa_se/svawanwrawApUrvaka/
free	KAlI/svawaMwra/mukwa/mukwa_rUPa_se_calA/mukwa_kara/
freeze	jamI_huI/jama_jA/jama/Tosa_rupa_meM_jama_jA/sWira_ho_jA/prawibaMXa/roka_xe/jamAne_vAlI_TaNda/jamA_xe/
freight	jahAja_yA_relagAdZI_para_laxA_huA_mAla/mAla_le_jA/
frequency	PrIkvensI/
frequent	bAra_bAra/bAra_bAra_jA/tikane_vAlA/
freshly	hAla_meM/wAjA/
fresh	gorA/nayA/aBI_Kawma_ho/nae/warowAjZA/aBinava/wAjA/
fret	warASA_huA/kuCa_wAraxAra_vAxya_yanwroM_kI_KUtiyAz/vyaWiwa_ho/cinwA_prakata_kara/
frighten	BagA_xe/BayaBIwa/darA/
frill	JAlara_lagA_huA/JAlara/JAlara_lagA/
fritter	Meaning_Target::/lapasI/gazvA/
frizz	GuzGarAle_banA/
frolic	AnanxaxAyaka/Amoxa_pramoxa_kara/
from	se_iwanI_xUra/se_GatanA_se/se/
front	Age/sAmanA_kara/
frost	pAlA/pAle_se_Daka_jA/
frown	wyOrI/wyOrI_caDA/
fruit	Pala/
frustrate	nirASa_yukwa/nirASa_kara/
fry	maCalI_ke_bahuwa_Cote_Cote_bacce/wala/
fudge	Paja/asaMgawa_bAwa_kara/
fuel	baDZa_jA/BadZakA_rahA/BadZakA/IMXana/IMXana_dAla/
fugitive	BagodZA/
fulfill	saMwuRta/pUrA_kara/
fulfil	pUrA_kara/paripUrNa/
full	pUrA/BarA_huA/BarapUra/pUrI_bahAra_ke_sAWa/pUrA/
fumble	hAWa_se_iXara-uXara_palatawA_ho/aniSciwa/PUhadapana/tatola/
fume	weja_ganXa_se_yukwa_XuAz/kroXa_kara/BaBaka/
function	kArya_kara/Palana/kArya/samAroha/
fundamental	mUlaBUwa/mUla_sixXAnwa/
fund	pUzjI/pUzjI_lagA/
funnel	Panala/Panala_xvArA_nikAla/
fun	AnaMxa/manoraFjaka/
furious	kruxXa/wejZa/ugra/kroXa_se/jaldabAjI/kroXiwa/
furrow	hala_reKA/hala_calA/
further	kiwanA_xura_Ora/Ora_Age_kA/Ora_Age/Ora_aXika/isake_alAvA/Age_baDZA/
fury	wIvra_kroXa/prakopa/
fuse	palIwA/gala/milA/
fuss	bawaMgadZa/bawaMgadZa_banA/
future	BaviRya/
fuzzy	GuzGarAlA/XuzXalA/aspaRta/
gab	bakabaka/badZabadZA/
gag	muKa_banXanI/muzha_banxa_kara/
gain	pICA_kara/prApwi/prApwa_kara/prApwa_ho/lABa_ho/lABa/lABa_uTAnA/balavawI_ho/nikata_A/vqxXi_ho/arjiwa_kara_le/
gallantly	bahAxurI_se/SiRtawApUrvaka/
gallant	bahAxura/CElA/
gallery	ciwraSAlA/xIrGA/
gallon	gElana/
gallop	jalxI_se_kara/wejI_se_nikala/sarapata_xOdZa/
gall	asaBya_vyavahAra/kisI_ko_gussA_xilA/
galvanize	kalaI_kara/uwwejiwa_kara_xe/
gamble	juA_KelanA/juA/juA_Kela/
game	juA/nidara/Kela/
gang	KilAPa_ikatTe_ho/xala/
gap	aMwara/aMwarAla/xUrI/rikwa_sWAna/rikwi/anwarAla/
garb	viSeRa_prakAra_se_kapadZe_pahananA/poSAka/
garden	bAgakAma/uxyAna/
gargle	kullA_karane_kA_warala_paxArWa/kullA_kara/
garland	mAlA/hAra_pahanA/
garnish	kuCa_BI_KAne_kI_cIja_jisase_Bojana_ko_sajAyA_jAwA_hE/alaMkqwa_kara/
garrison	rakRakasenA/moracA_banxI_kara/
gash	gaharA_GAva/gaharA_GAva_kara/
gasp	Xaka_se_raha_jA/hAzPawA_huA/
gas	gappe_ladZA/jaharIlI_gEsa_xe/jaharIlI_gEsa_le/
gate	xvAra/baMxa_kara/
gather	BIdZa/kapadZe_kI_waha/ikaTTA_kara/ekawriwa/ekawra/
gauge	mAnaxaMda/geja/mApa/nApa/
gay	prasannaciwwa/Ananxamaya/
gazette	sarakArI_gajata/gajata_meM_CApa/
gaze	takatakI/takatakI_lagA/
gazump	sOxe_ke_paScAwa_kImawa_kI_baDZawa/sOxe_ke_paScAwa_kImawa_baDZA/
gear	wEyArI_kara/giyara/wEyAra_kara/weja_gawi/se/
generally	AmawOra_para/vyApaka_rUpa_meM/sAXAraNawayA/vyApaka_rUpa_se/sAmAnyawaH/
general	janarala/vyApaka/sAmAnya/yoxXA/
generate	uwpanna_kara/uwpanna_ho/
generation	pIDI/uwpawwi/uwpAxana/
generous	uxAra/pracura/
gentile	yahuxI_yA_gEra_IsAI/
gentle	maMxa/suSIla/SAnwa/saBya/WodZA/
gently	XIre_XIre/naramI_se/XIre_se/
genuine	asalI/amiSriwa/
german	jarmana_vyakwi/jarmana/
gesture	iSArA/BAva/vyavahAra/saMkewa/muxrA/iSArA_kara/
get	nikala_jA/para_caDZa_jAyeM/pahuzca/preriwa_kara/hE/WA/aPavAha_PEla/samaJA/pICA_kara\pICe_jA/saPala_ho/Age_baDZa/acCe_saMbaMXa_ho/hala_nikAla/AlocanA_kara/samaJa/pakadZa_meM_na_A/dAka_se_Beja/CutakArA_pA/baxalA_le/kAma_calA/Suru_kara/uxAsa_kara/nigala/liKa/miwrawA_kara/kaha_xe/AvaSyakawA_ho/pahana/meM_jA/meM_ulaJa/padZa_jA/uwara/uwAra/AlocanA_karawe_raha/saMparka_sWApiwa_kara/mEwrIpUrNa_saMbaMXa_cala/bUDZe_ho/bAhara_nikAla/CApa/TIka_ho/bAwa_kara/pAsa_ho/KZawma_kara/wejZa_ho\baDZa/vyavasWA_kara/PEla_jA/BAga_jA/lOta/piCadZa/acCA_mAna_le/Gusa/anxara_jA/praveSa_kara/pragawi_kara/pawA_cala/BUla_jA/pUrA_kara/ekawra_kara/uTa/ho/uwwejiw_ho/le/prApwa_kara/pA/mila/lA_xe/rukAvatoM_ke_bAvajUxa_pahuzca/bAhara_ho_jA/wEyAra_ho/PEla/waka_pahuzca/viGna_dAla/laga/ho_jAwA/jalaplAviwa_ho_jA/cala_padZa/CUta_jA/cale_jA/pahuzca_jA/jA/CuttI_para_jA/bAhara_jA/
getup	bAhya_sajAvata/pahanAvA/
giant	bahuwa_badA/xEwya/xiggaja/viSAlakAya_rUpa/sabase_badA/
gift	guNI/upahAra/BeMta_xe/
giggle	hIM-hIM-TI-TI_karanA/hI-hIM-TI-TI_kara/
gig	tamatama/jazhAja_ke_sAWa_kI_nAZva/jalasA/
gild	paxArWa_jisase_kalaI_kI_jAwI_hE/ucca_varga/kalaI_kara/
ginger	rucikara_banA/kisI_ko_prowsAhiwa_kara/axaraKa/
girdle	kamarabanxa/petI_se_kasa/
gist	sArAMSa/wAwaparya/
give	xiyA_huA/AxI/rAjZa_bata/hAra_mAna_le/xe/KZawma_ho/bAzta/CodZa_xe/gavAhI_xe/bAhara_nikala/pahuzcA/rAya_xe/ASraya_xe/Coda_xe/tUta_jA/vApisa_xe/kara/kI_paravAha_kara/paDA_saka/
glance	najara/najara_dAla/pqRTasarpI/
glare	camakIlA/wejZa_roSanI/GUra/
glass	caSmA/gilAsa/pOXa_Gara/SISA/SISa/kAzca/SISe_kA/SISA_lagA/
gleam	kiraNa/kiraNa_biKera/
glide	bahAva/visarpaNa_kara/
glimmer	manxa_prakASa/ABAsa/
glimpse	JAzki/Jalaka/jalxI_se_eka_najZara_dZAla/
glint	camaka/
glitter	camaka-xamaka/SAno-SOkawa/jagamagA/Jalaka/JilamilA/rOnaka/SAnaxAra/Bavya/camakIlA/camakawA_huA/camaka/
gloom	aMXakAra/XuMXalA_kara/
gloomy	uxAsa/aMXerA/nirASajanaka/
glorify	gOravAnviwa_kara/pUjA_jA/
