ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
mot test	purAne_motara_vAhanoM_kA_anivArya_parIkRaNa
motel chain	motala_cEna
mother board	kampyUtara_ke_anxara_kA_maxaraborda
mother cell	mAwq_koSA
mother church	mUla_carca
mother country	mAwqBUmi
mother hood	mAwqwva
mother in law	sAsa
mother land	mAwqBUmi
mother less	mAwqhIna
mother like	mAwqvawa
mother love	mAwqprema
mother nature	prakqwi
mother of pearl	kuCa_sipiyoM_kI_BIwarI_camakIlI_parawa
mother of perl	mukwA
mother register	uxgama_paMjI
mother ship	AXAra_powa
mother state	mUla_rAjya
mother superior	aXyakRA
mother tincture	mUlArWa
mother to be	garBavawI_mahilA
mother tongue	mAwqBARA
mother wit	sahaja_buxxi
motion of confidence	sWagana-praswAva
motion of no confidence	aviSvAsa_praswAva
motion picture experts group	calaciwra_viSeRajFAmpalq_samUha
motion picture	calaciwra
motion specification	gawi_vinirxeSa
motive power	preraka_bala
motor boat	motara_nAva
motor car advance	motara_kAra_uXAra
motor car allowance	motara_kAra_BawwA
motor car driver	motara_kAra_drAivara
motor car	motarakAra
motor chargeman	motara_kArvekRaka
motor cleaner	motara_klInara
motor content	preraka_prasaMga
motor control	motara_niyanwraNa
motor controller	motara_niyaMwraka
motor cycle	motarasAikila
motor defect	gawiparaka_xoRa
motor driver cum mechanic	motara_cAlaka_va_mekEnika
motor driver	motara_cAlaka
motor foreman	motara_PoramEna
motor mechanic	motara_mekEnika
motor mistry	motara_mi_iwrI
motor regulator	motara_niyAmaka
motor transport officer	motara_parivahana_aXikArI
motor transport attendant	motara_parivahana_paricara
motor transport receipt	motara_parivahana_rasIxa
motor vehicle inspector	motara_gAdZI_nirIkRaka
motor vehicle mechanic	motara_gAdZI_mekEnika
motor vehicle	motara_yAna
motor vehicles department	motara_gAdZI_viBAga
motor vehicles tax	motara_gAdZI_kara
motorcycle cop	motara_sAikila_kA_pulisa
mount gaurd	rakRaka_jEsA_vyavahAra_karanA
mount the throne	rAjA_yA_rAnI_honA
mountain alder	pahAdZI_eldara_vqkRa
mountain ash	pahAdZI_aMgU_vqkRa
mountain avens	pahAdZI_evensa
mountain beaver	parvawIya_UxabilAva
mountain bike	mAuntena_bAika
mountain blacksnake	pahAdZa_kA_kAlA_sAzpa
mountain box	pahAdZa_para_caDZane_ke_lie_jarUrI_sAmAna_raKane_kA_baksA
mountain chain	parvawa_mAlA
mountain climber	parvawArohI
mountain climbing	parvawArohaNa
mountain devil	parvawI_SEwAna
mountain range	parvawa_mAlA
mountain sickness	parvawa_roga
mountain side	pahAdZI_dZAla
mountain slide	parvawa_sKalana
mountain top	parvawa_cotI
mounted police	xudZasavAra_pulisa
mourning band	mAwamI_vAxya
mourning cloak	Soka_kI_poSAka
mourning coach	mAwama_gAdZI
mouse ear	cUhe_kA_kAna
mouse trap	cuhiyAxAnI
mouth cavity	muKa_vivara
mouth organ	muzha_kA_bAjA
mouth piece	muKikA
mouth to mouth	eka_jZabAna_se_xUsarI_jZabAna_waka
mouth wash	muzha_XonA
mouth watering	muzha_meM_pAnI_lAnevAlA
movable barrier	asWira_avaroXa
movable property	cala-saMpawwi
move characters	gawi_akRara
move in	praveSa_karanA
moveable feast	cala-parva
movement clerk	saMcalana_klarka
movement controller	saMcalana_niyaMwraka
movement director	saMcalana_nixeSaka
movement in prices	kImawoM_MUlyoM_meM_uwAra_caDZAva
movement inspector	saMcalana_nirIkRaka
movement of dak	dAka_saMcalana
movement of files	PAiloM_kI_AvAjAhI
movement register	saMcalana_paMjikA
movie camera	calaciwra_kEmarA
movie star	Pilma_siwarA
movie theater chain	sinemA_Wiyetara_SrqMKalA
moving average	cala_Osawa
moving in	aXikAra_meM_karane_kI_kriyA
moving picture	cala_ciwra
moving school	cala_vixyAla
moving staircase	calawI_sIDZI
moving van	calawI_huI_motAra_gAdZI
movong force	preraka_Sakwi
ms dos	ema_esa_dOYsa
ms windows	ema_esa_vindojZa
much raker	xoRa_KojZanevAlA
muck heap	gobara_kA_DZera
muck of	gaMxA_karanA
mucuous membrane	SleRmal_JillI
mud along	GabarAhata_se_SurU_karanA
mud bath	kIcadZa_snAna
mud digger	kIcadZa_KoxanevAlA
mud flat	kIcadZaxAra_BUmi
mud flinge	kIcadZa_uCAlanA
mud guard	paMka_roka
mud headed	BraRta_buxXivAlA
mud headedness	mUDawA
mud mortar	gArA
mud park	mqwwikA_snAna
mud slinger	kIcadZa_uCAlanevAlA
mud slingering	nixA
mud through	kisI_waraha_saPala_honA
mud turtle	kaCuA
mud walled	mitaWautI_kI_xIvAroM_vAlA
mud wasp	bilanI
mug up	aXyayana_karanA
mule driver	Kaccara_saWasa
mull over	para_vicAra_karanA
multani hundies	mulawAnI_huMdiyAM
multi access channel	bahu_aBigama_cEnala
multi access computer	bahu_aBigama_kaMpyUtara
multi coloured	raMga_biraMgA
multi computer	bahu_kaMpyUtara
multi crore	karodoM_kA
multi currency basket	bahu_uiviXa_muxrA_samUha
multi disciplinary approach	bahuviRayaka_iRtakopra
multi facted policy	bahumuKI_nIwi
multi focal	bahukenxrIya
multi form	bahurUpa
multi formity	bahurUpawA
multi lateral	bahu_pakRIya
multi member	bahu_saxasya
multi national	bahu_paxI
multi plex	buviXa
multi presence	bahu_xeSIyawA
multi processing	bahu_prakramaNa
multi processor system	bahu_prakramaka_waMwra
multi processor time sharing system	bahu_prakramaka_kAla_BAjana_waMwra
multi processor	bahu_prakramaka
multi programming processing	viviXa_kAryakrama_vyavasWA_AaaiBasaMskaraNata_saMsAXana
multi programming	bahu_kramAxeSana
multi purpose policy	bahu_uxxeSIya_nIwi
multi purpose	bahu_prayojaka
multi racial	bahu_jAwIya
multi service agency	bahu_sevA_aiBakaraNa_ajeMsI
multi storied	bahu_wala
multi syllabic	bahvakRara
multi tasking	bahu_kAryaNa
multi valence	bahu_saMyojakawA
multi valent	bahu_saMyojaka
multi variate	bahucara
multiaccess system	bahu_aBigama_waMwra
multiaddress calling facility	bahu_pawA_AhvAna_suviXA
multiaddress calling	bahu_pawA_AhvAna
multiaddress instruction	bahu_pawA_anuxeSa
multicast address	bahurupIya_pawA
multicast router	bahurupIya_anurmAgaka
multicavity amplifier	bahukotaka_pravarXaka
multidimensional array	bahuvima_saraNI
multidimensional language	bahuvima_BARA
multidomain network	bahu_prakRewra_netavarka
multielement dipole antenna	bahu_avyava_xviXruva_EntenA
multifrequency pulsing	bahu_Avqwi_spaMxana
multifrequency pushbutton set	bahu_Avqwi_xAba_batana_seta
multifrequency receiver	bahu_Avqwi_aBigrAhI
multifrequency signal	bahu_Avqwi_saMkewa
multifrequency terminal	bahu_Avqwi_aMwaka
multifunction add on board	bahuPalana_saMyojana_borda
multigrapher attendant	bahuleKiwra_paricara
multigrapher operator	bahuleKiwra_pracAlaka
multijob operation	bahukArya_pracAlana
multilateral clearing or settlement	bahupakRIya_aahuxeSIya_samASoXana_yA_nipatAna
multilateral convertibility	bahupakRIya_aahuxeSIya_vinimeyawA
multilateral trade	bahupakRIya_aahuxeSIya_vyApAra
multilevel address	bahuswara_pawA
multilevel feedback query	bahuswarIya_PIdabEka_praSna
multilevel memory	bahuswara_smqwi
multilevel security	bahu_swarIya_surakRA
multilevel subroutine	bahuswara_upanemakA
multimedia mail	bahu_maXyama_dAka
multimedia network	bahumAXya_jAla
multimedia technology	bahumAXya_prOxyogikI
multimode counter	bahupaxvawi_gaNaka
multimode graded index fiber	bahupaxvawi_SreNIkqwa_sUcakAMka
multimode step index fiber	bahupaxvawi_paxa_sUcakAMka_PAibara
multipass sort	bahu_pAraka_CAMta
multiple access	bahu_aBigama
multiple address instruction	bahupawA_anuxeSa
multiple assignment	bahu_niyawana
multiple banking arrangements	bahu_bEMkiMga_vyavasWAeM
multiple checks	bahu_jOYMca
multiple choice	bahuviwakalpa
multiple cost	bahuviXa_lAgawa
multiple cropping pattern	bahu_PZasalI_praprAlI
multiple cropping	bahu_PZasalI
multiple currency practice	bahuviXa_muxrA_rIwiyAM_MaxXawiyAM
multiple currency system	bahuviXa_muxrA_praprAlI
multiple declaration	bahu_GoRaNA
multiple discriminant	bahu_viBexaka
multiple exchange rates	bahu_ukAXika_vinimaya_xareM
multiple finance	bahuviXa_vwwi_AwwipoRapra
multiple financing	bahuviXa_vwwiIyana_awwipoRapra
multiple indemnity	bahuviXa_kRawipUrwi
multiple job processing	bahu_kArya_prakramaNa
multiple light source	bahu_prakASa_swrowa
multiple operation	bahu_saMkriyA
multiple partition algorithm	bahu_viBAjana_elgoriWma
multiple point line	bahu_biMxu_lAina
multiple precision	bahu_pariSuxXi
multiple programming	bahu_kramAxeSana
multiple queue scheduling	bahu_paMkwi_anusUcana
multiple regression model	bahu_samASrayaNa_nixarSa
multiple regression	bahu_prawigamana
multiple routing	bahu_anumArgaNa
multiple taxation	bahuviXa_karAXAna
multiple virtual storage	bahu_aBAsI_BaMdAraNa
multiplex data terminal	bahusaMkewana_AEYMkadA
multiplex link	bahuBAgI_kadZI
multiplex mode	bahuBAgI_viXA
multiplex operation	bahuBAgI_saMkriyA
multiplexed bus	bahu_saMkewiwa_basa
multiplexed operation	bahuBAjiwa_saMkriyA
multiplexer simulation	bahu_saMkewaka_anukAra
multiplication of product	uwpAxana_bahulIkaraNa
multiplication of services	kAryaguprana
multiplicity of branch returns	SAKA_vivarapriyoM_kA_bAhulya_aEviXya
multiplicity of exchange rates	vinimaya_xaroM_kI_viviXawA
multiplier factor	guNaka_KaMda
multiplier quotient register	guNaka_BAgaPala_paMjI
multipoint circuit	bahu_biMxu_paripaWa
multipoint link	bahu_biMxu_kadZI
multipoint network	bahu_biMxu_netavarka
multipoint tax	bahuswara_kara
multiprocessing system	bahu_prakramaNa_waMwra
multiprocessor interleaving	bahu_prakramaka_aMwarapawraNa
multiprocessor system	bahu_prakramaka_waMwra
multiprocessor time sharing system	bahu_prakramaka_kAla_sahaBAjana_waMwra
multiprogramming memory protect	bahu_kramAxeSana_smqwi_rakRaNa
multiprogramming operating system	bahuprogrAmana_pracAlana_waMwra
multiprogramming system	bahu_kramAxeSana_waMwra
multipurpose co operative society	bahu_umeSyIya_sahakArI_samiwi
multipurpose cooperative society	bahumeSIya_sahakArI_samiwi
multipurpose internet mail	bahuuxxeSIya_iMtaraneta_dAka
multipurpose river valley scheme	bahu_umeSyIya_naxI_xAtI_yojanA
multipurpose societies	bahu_umeSyIya_samiwiyAM
multireel sorting	bahu_rIla_SOYtana
multischedule private line	bahu_niyojana_nijI_lAina
multistation access unit	bahusteSana_aBigamana_ekaka
multitask operation	bahu_kArya_pracAlana
multiunit processor	bahuekaka
multiuser microcomputer	bahu_CaupayokwA_mAikro_kaMpyUtara
multiuser system	bahuupayokwA_waMwra
multiway search tree	bahuXA_Koja_warU
mumbo jumbo	paScimI_APrikA_kA_eka_xevawa
municipal authority	nagarapAlikA_prAXikArI
municipal board	nagarapAlikA
municipal bond	nagara_nigama_sambanXa
municipal center	nagarapAlikA_kenxra
municipal commissioner	nagarapAlikA_Ayukwa
municipal corporation	nagara_nigama
municipal council	nagarapAlikA
municipal rates	pOra_kara
municipal taxes	nagara_pAlikA_kara
munucipal corporation	nagar_nigama
mural painting	Biwwiciwra
murder charge	hawyA_kA_iljZAma
murder conviction	kawla_kA_xoRasixXi
muscle bound	suxqDZa_peSI_vAlA
muscle cell	mAzsa_peSI_koSikA
muscle man	suxqDZa_peSI_vAlA_vyakwi
muscular contraction	mAMsapeSIya_saMkucana
muscular dystrophy	mAMsapeSI_kamajora_hone__kA_roga
museum keeper	saMgrahapAla
museum piece	rucipraxa_vaswu
mushroom cloud	Cawraka_bAxala
mushroom coral	Cawraka_mUzgA
music and drama division	saMgIwa_Ora_nAtaka_praBAga
music box	saMgIwa_petI
music composer	saMgIwa_racayiwA
music consultant	saMgIwa_parAmarSaxAwA
music director	saMgIwa_nirxeSaka
music hall	saMgIwaSAlA
music stand	svaralipi_stENda
music teacher	saMgIwa_SikRaka
musical arrangement	saMgIwa
musical box	saMgIwa_petI
musical chair	saMgIwa_kursI
musical chairs	eka_Kela
musical comedy	saMgIwAwmaka_kAmidI
musical composition	saMgIwa_kI_kqwi
musical drama	saMgIwAwmaka_nAtaka
musical variety	viviXa_saMgIwa
musk clover	kaswUrI_wipawiyA
musk deer	kaswUrI_mqga
musk duck	kaswUrI_bawwaKa
musk rat	CUCUzxara
musket ball	purAnI_cAla_kI_baMxUka_kI_golI
muster call	hAjirI
muster clerk	upasWiwi_klarka
muster roll	upasWiwi-nAmAvalI
mutation clerk	nAmAMwaraNa_lipika
mutation surveyor	nAmAMwaraNa_sarvekRaka
mutatis mutandis	AvaSyaka_parivarwanoM_sahiwa
mutilatd cheque	katA_PatA_ceka
mutilated hill	katA_PatA_bila
mutilated note	katA_PatA_nota
mutton chop	matana_cApa
mutual affection	ApasI_lagAva
mutual agency	pArasparika_ejeMsI
mutual agreement	pArasparika_kZarAra
mutual aid	ApasI_maxaxa
mutual consent	pArasparika_sahamawi_iammawi_ApasI_sahamawi_iammawi
mutual dependence	pArasparika_nirBarawA
mutual exchange of credit information	qNa_sUcanA_AAnakArI_kA_pArasparika_vinimaya
mutual exclusion	pArasparika_bahiRkaraNa
mutual fund sales	niveSa_niXi_bikrI
mutual fund	myUcuala_PaMda
mutual information	paraspara_sUcanA
mutual interest	pArasparika_apasI_hiwa
mutual pair capacitance	paraspara_yugma_XAriwA
mutual understanding	ApasI_samaJa
mutually exclusive events	paraspara_apavarjiwa_GatanA
mutually exclusive	paraspara_ananya
my boy	mAI_bvAya
my dear	priya
my goodness	he_BagavAn
mycological assistant	kavakavijFAna_sahAyawaka
myna bird	mEnA_pakRI
mynah bird	mEnA_pakRI
myrtle beech	meMhaxI_kA_vqkRa
mythical being	pOrANika_prANI
n p completeness	ena_pI_saMrarNawA
non linear distortion	arEKika_virUpaNa
nail biting	bahuwa_romAMcaka_sWiwi
nail brush	nAKUna_sAPa_karane_kA_braSa
nail enamel	nAKUna_kA_inEmala
nail file	nAKUnoM_ko_sahI_AkAra_meM_raKane_kI_vaswu
naive user	sahaja_prayokwA
naked fact	nagna_waWya
namby pamby	BAvuka
name board	nAma_patta
name calling	nAma_bulAnA
name card	nAma_kArda
name dropping	badZe_evaM_prasixXa_logoM_kA_nAma_lenA{viSeRa_praBAva_kelie}
name plate	nAma_patta
name server	nAma_parisevaka
nand element	waWA_pUraka_avyava
nand function	waWA_pUraka_Palana
nand operation	waWA_pUraka_saMkriyA
nanny goat	bakarI
nano processor	nEno_saMsAXiwra
nano program store	nEno_kramAxeSa_BaMdAra
nano second	nEno_sEkenda
narcotics commissioner	nAkortiksa_kamiSnara_aWApaka_Ayukwa
narmada control authority	narmaxA_niyaMwraNa_prAXikAraNa
narrow area of demand	sImiwa_mAMga_kRewra
narrow band	saMkIrNa_bEMda
narrow bandwidth channels	saMkIrNa_bEMda_viWa_cEnala
narrow escape	kuCa_pAnA_(bAla-bAla_baca_nikalanA)
narrow minded	saMkIrNa_mana_vAlA
narrow mindedness	saMkIrNa_mana
narrow money	saMkIrNa_aaMga_muxrA
narrow stream	pawalI_XArA
nasal bone	nAka_kI_haddI
nasal cavity	nAsikA_guhA
nasal consonant	anunAsika_vyaMjana
nascent industry	navajAwa_uxyoga
nasogastric feeding	nalI_ke_xvArA_KAnA_KilAnA
nation building	rARtra-nirmANa
national academy of administration	rARtrIya_praSAsana_akAxamI
national academy of direct taxes	rARtrIya_prawyakRakara_akAxamI
national aeronautical laboratory	rARtrIya_vEmAnika_prayogaSAlA
national agricultural credit fund	rARtrIya_kqRi_qNa_niXi
national airports authority	rARtrIya_vimAna_pawwna_prAXikaraNa
national animal	rARtrIya_paSu
national anthem	rARtra_gAna
national archives of india	BArawa_kA_rARtrIya_aiBaleKAgAra
national assistance	rARtrIya_sahAyawA
national average	rARtrIya_Osawa
national bank for agriculture and rural development	rARtrIya_kqRi_evaM_grAmINa_vikAsa_bEMka
national bank	rARtrIya_bEMka
national bird	rARtrIya_pakRI
national botanical research institute	rARtrIya_vanaspawi_anusaMXAna_saMsWAna
national buildings organisation	rARtrIya_Bavana_saMgaTana
national bureau of plant genetics	rARtrIya_pAxapa_janana_byUro
national cadet corps	rARtrIya_kEdeta_kora
national calendar	rARtrIya_kEleMdara
national capital region planning board	rARtrIya_rAjaXAnI_kRewra_niyojana_borda
national capital region	rARtrIya_rAjaXAnI_praxeSa
national capital territory	rARtrIya_rAjaXAnI_kRewra
national censorship	rARtrIya_niyaMwraNa
national center for supercomputing applications	rARtrIya_aBikAlana_anupayoga
national character	xeSIya_saMprawIka
national chemical laboratory	rARtrIya_rasAyana_prayogaSAlA
national committee on science and technology	rARtrIya_vijFAna_evaM_prOxyogikI_samiwi
national conservancy council	rARtrIya_saPAWa_pariRax
national cooperative development corporation	rARtrIya_sahakArI_vikAsa_nigama
national council of applied economic research	rARtrIya_anuprayukwa_ArWika_anusaMXAna_pariRax
national council of educational research and training	rARtrIya_SEkRika_anusaMXAna_Ora_praSikRaNa_pariRax
national currency	rARtrIya_muxrA_AareMsI
national debt	rARtrIya_qNa
national defence academy	rARtrIya_rakRA_akAxamI
national defence college	rARtrIya_rakRA_kOYleja
national defence fund section	rARtrIya_rakRA_niXi_anuBAga
national defence loans	rARtrIya_rakRA_qNa
national development block	rARtrIya_vikAsa_KaMda
national economic development council	rARtrIya_ArWika_vikAsa_pariRax
national economy	rARtrIya_arWavyavasWA
national emblem	rARtrIya_saMprawIka
national employment service	rARtrIya_rojZagAra_sevA
national expenditure	rARtrIya_vyaya_aarca
national extension development block	rARtrIya_viswAra_vikAsa_KaMda
national extension service	rARtrIya_viswAra_sevA
national film archives of india	BArawa_kA_rARtrIya_Pilma_aiBaleKAgAra
national finance commission	rARtrIya_viwwa_nigama
national fire service college	rARtrIya_agniSamana_sevA_kOYleja
national flag	rARtra_Xvaja
national flood commission	rARtrIya_bADZa_Ayoga
national food technological research institute	rARtrIya_KAxya_prOxyogikI_anusaMXAna_saMsWAna
national fund	rARtrIya_niXi
national fundamental education centre	rARtrIya_mUlaBUwa_SikRA_keMxra
national gallery of modern art	rARtrIya_AXunika_kalA_saMgrahAlaya
national geophysical research institute	rARtrIya_BUBOwikI_anusaMXAna_saMsWAna
national guild	rARtrIya_Silpika_saMxa
national highway	rARtrIya_rAjamArga
national honour	rARtrIya_sammAna
national hydro power corporation	rARtrIya_jala_Sikwa_nigama
national income	rARtrIya-Aya
national industrial credit fund	rARtrIya_Oxyogika_qNa_niXi
national industrial development corporation	rARtrIya_Oxyogika_vikAsa_nigama
national information infrastructure	rARtrIya_sUcanA_buniyAxI_DZAcA
national information standards organization	rARtrIya_sUcanA_mAnaka_saMsWA
national institute for entrepreneurship small business development	rARtrIya_uxyama_jFAna_evaM_laxu_vyavasAya_vikAsa_saMsWAna
national institute of audiovisual education	rARtrIya_Sravya_Sya_SikRA_saMsWAna
national institute of bank management	rARtrIya_bEMka_prabaMXa_saMsWA
national institute of basic education	rARtrIya_buniyAxI_SikRA_saMsWAna
national institute of communicable diseases	rARtrIya_saMcArI_roga_saMsWAna
national institute of educational planning administration	rARtrIya_SaWaMkRika_yojanA_evaM_praSAsana_saMsWAna
national institute of health and social welfare	rARtrIya_svAsWya_Ora_samAja_kalyANa_saMsWAna
national institute of health family welfare	rARtrIya_svAsWya_evaM_parivAra_kalyANa_saMsWAna
national institute of medical research	rARtrIya_cikiwsA_anusaMXAna_saMsWAna
national institute of mental health and neuro science	rARtrIya_mAnasika_svAsWya_evaM_waMwrikA_vijFAna_saMsWAna
national institute of mentally handicapped	rARtrIya_mAnasika_vikalAMga_saMsWAna
national institute of nutrition	rARtrIya_poRapra_saMsWAna
national institute of public cooperation and child development	rARtrIya_jana_sahayoga_evaM_bAla_vikAsa_saMsWAna
national institute of public finance and policy	rARtrIya_loka_vwwi_evaM_nIwi_saMsWAna
national institute of social defence	rARtrIya_sAmAjika_rakRA_saMsWAna
national institute of visually handicapped	rARtrIya_iRta_vikalAMga_saMsWAna
national insurance scheme	rARtrIya_bImA_yojanA
national insurance	rARtrIya_bImA_yojanA
national integration	rARtrIya_aKaMdawA
national labour institute	rARtrIya_Srama_saMsWAna
national language	rARtraBARA
national love and affection	sahaja_prema_Ora_anurAga
national malaria eradication programme	rARtrIya_maleriyA_unmUlana_kAryakrama
national malaria eradication	rARtrIya_maleriyA_unmUlana_kAryakrama
national metallurgical laboratory	rARtrIya_XAwukarma_prayogaSAlA
national museum	rARtrIya_saMgrahAlaya
national park	rARtrIya_prApriuxyAna
national physical laboraotory	rARtrIya_BOwika_prayogaSAlA
national plans savings certificate clerk	rARtrIya_yojanA_bacawa_pawra_klarka
national policy	rARtrIya_nIwi
national product	rARtrIya_uwpAxa
national productivity council	rARtrIya_uwpAxakawA_pariRax
