aa	e~e
consultatory	parAmarSaka[-]
consulted	rAya~le^xeKanA{puswaka}/mawa~pUCanA~{@ed/@en}
consulted	vicAra~vimarSa^rAya~karanA~{@ed/@en}
consulting	rAya~le^xeKanA{puswaka}/mawa~pUCanA~{@ing}
consulting	vicAra~vimarSa^rAya~karanA~{@ing}
consultive	parAmarSaka[-]
consultiver	parAmarSaka~{wara}
consultivest	parAmarSaka~{wama}
consult	rAya~le^xeKanA{puswaka}/mawa~pUCanA{0}
consults	rAya~le^xeKanA{puswaka}/mawa~pUCanA~{@s}
consults	vicAra~vimarSa^rAya~karanA~{@s}
consult	vicAra~vimarSa^rAya~karanA{0}
consumables	upaBogya~vaswueM
consumable	upaBojya
consumed	kAma~meM~lAnA/vyaya~karanA~{@ed/@en}
consume	kAma~meM~lAnA/vyaya~karanA{0}
consumerism	upaBokwa
consumerist	upaBokwa
consumers'	upaBogawA{ba.}{@vib:kA}
consumers	upaBogawA{@s}
consumer's	upaBogawA{@vib:kA}
consumers	upaBokwA{@s}
consumers'	upaBokwA{@s}{@vib:kA}
consumer's	upaBokwA{@vib:kA}
consumer	upaBogawA{0}
consumer	upaBokwA{0}
consumes	kAma~meM~lAnA/vyaya~karanA~{@s}
consuming	kAma~meM~lAnA/vyaya~karanA~{@ing}
consummable	upaBogya~sAmagrI
consummated	uwkqRta/saMpUrNa/pUrA~karanA~{@ed/@en}
consummater	uwkqRta/saMpUrNa/pUrA~karanA~{wara}
consummatest	uwkqRta/saMpUrNa/pUrA~karanA~{wama}
consummates	uwkqRta/saMpUrNa/pUrA~karanA~{@s}
consummate	uwkqRta/saMpUrNa/pUrA~karanA[-]{0}
consummating	uwkqRta/saMpUrNa/pUrA~karanA~{@ing}
consummation	pUrwi{0}
consummations'	pUrwi{ba.}{@vib:kA}
consummations	pUrwi{@s}
consummation's	pUrwi{@vib:kA}
consumption	Kapawa^kRaya~roga/wapexika{0}
consumptions'	Kapawa^kRaya~roga/wapexika{ba.}{@vib:kA}
consumptions	Kapawa^kRaya~roga/wapexika{@s}
consumption's	Kapawa^kRaya~roga/wapexika{@vib:kA}
consumptions	upaBoga^Kapawa/kRaya{@s}
consumptions'	upaBoga^Kapawa/kRaya{@s}{@vib:kA}
consumption's	upaBoga^Kapawa/kRaya{@vib:kA}
consumption	upaBoga^Kapawa/kRaya{0}
consumptive	kRayakArI^kRayarog
contacted	saMparka^saMbaMXa~{@ed/@en}
contacted	samparka^saMsparSa~{@ed/@en}
contacting	saMparka^saMbaMXa~{@ing}
contacting	samparka^saMsparSa~{@ing}
contact	saMparka^saMbaMXa{0}
contact	samparka^saMsparSa{0}
contacts	saMparka^saMbaMXa~{@s}
contacts'	saMparka^saMbaMXa{@s}{@vib:kA}
contact's	saMparka^saMbaMXa{@vib:kA}
contacts'	samparka^saMsparSa{ba.}{@vib:kA}
contacts	samparka^saMsparSa~{@s}
contact's	samparka^saMsparSa{@vib:kA}
con	Taga~lenA^XoKA^XoKA~xenA
contagion	CUwa/udZanI~bImArI{0}
contagions'	CUwa/udZanI~bImArI{ba.}{@vib:kA}
contagions	CUwa/udZanI~bImArI{@s}
contagion's	CUwa/udZanI~bImArI{@vib:kA}
contagious	CUwa~se~lagane~vAlA{roga}[-]
contagiouser	CUwa~se~lagane~vAlA{roga}~{wara}
contagiousest	CUwa~se~lagane~vAlA{roga}~{wama}
contained	[se]~yukwa~ho/se~yukwa~honA^atAnA/XAraNa~karanA~{@ed/@en}
contained	yukwa~ho^WAma~{@ed/@en}
containers'	XAraka/pAwra{ba.}{@vib:kA}
containers	XAraka/pAwra{@s}
container's	XAraka/pAwra{@vib:kA}
container	XAraka/pAwra{0}
containing	[se]~yukwa~ho/se~yukwa~honA^atAnA/XAraNa~karanA~{@ing}
containing	yukwa~ho^WAma~{@ing}
containment	pariroXana{0}
containments'	pariroXana{ba.}{@vib:kA}
containments	pariroXana{@s}
containment's	pariroXana{@vib:kA}
contain	[se]~yukwa~ho/se~yukwa~honA^atAnA/XAraNa~karanA{0}
contains	[se]~yukwa~ho/se~yukwa~honA^atAnA/XAraNa~karanA~{@s}
contains	yukwa~ho^WAma~{@s}
contain	yukwa~ho^WAma{0}
contaminant	saMxURiwa~paxArWa{0}
contaminants'	saMxURiwa~paxArWa{ba.}{@vib:kA}
contaminants	saMxURiwa~paxArWa{@s}
contaminant's	saMxURiwa~paxArWa{@vib:kA}
contaminate	aSuxXa~karanA[-]{0}
contaminated	aSuxXa~karanA~{@ed/@en}
contaminater	aSuxXa~karanA~{wara}
contaminates	aSuxXa~karanA~{@s}
contaminatest	aSuxXa~karanA~{wama}
contaminating	aSuxXa~karanA~{@ing}
contaminations'	xURaNa/saMxURaNa{ba.}{@vib:kA}
contaminations	xURaNa/saMxURaNa{@s}
contamination's	xURaNa/saMxURaNa{@vib:kA}
contamination	xURaNa/saMxURaNa{0}
contango	wejI~baxalA
contemn	upekRA{wIKI}
contemplate	ciMwana^apekRA~karanA{0}
contemplated	ciMwana^apekRA~karanA~{@ed/@en}
contemplated	vicAra~karanA~{@ed/@en}
contemplates	ciMwana^apekRA~karanA~{@s}
contemplates	vicAra~karanA~{@s}
contemplate	vicAra~karanA{0}
contemplating	ciMwana^apekRA~karanA~{@ing}
contemplating	vicAra~karanA~{@ing}
contemplations'	vicAraNA{ba.}{@vib:kA}
contemplations	vicAraNA{@s}
contemplation's	vicAraNA{@vib:kA}
contemplation	vicAraNA{0}
contemplative	XyAnaparAyaNa^XyAnaSIla
contemporarier	samakAlIna/samakAlIna~vyakwi~{wara}
contemporaries	samakAlika^AXunika{@s}
contemporaries'	samakAlika^AXunika{@s}{@vib:kA}
contemporaries'	samakAlIna/samakAlIna~vyakwi{ba.}{@vib:kA}
contemporaries	samakAlIna/samakAlIna~vyakwi{@s}
contemporariest	samakAlika^AXunika~{wama}
contemporariest	samakAlIna/samakAlIna~vyakwi~{wama}
contemporary	samakAlika^AXunika[-]
contemporary	samakAlIna/samakAlIna~vyakwi[-]
contemporary's	samakAlika^AXunika{@vib:kA}
contemporary's	samakAlIna/samakAlIna~vyakwi{@vib:kA}
contemptible	GqNiwa[-]
contemptibler	GqNiwa~{wara}
contemptiblest	GqNiwa~{wama}
contempts'	wiraskAra{ba.}{@vib:kA}
contempts	wiraskAra{@s}
contempts	wiraskAra{@s}
contempts'	wiraskAra{@s}{@vib:kA}
contempt's	wiraskAra{@vib:kA}
contempt's	wiraskAra{@vib:kA}
contemptuouser	wiraskArapUrNa~{wara}
contemptuousest	wiraskArapUrNa~{wama}
contemptuously	wiraskAra~se
contemptuous	wiraskArapUrNa[-]
contempt	wiraskAra{0}
contempt	wiraskAra{0}
contend	BidZanA{0}
contended	BidZanA~{@ed/@en}
contended	vivAxa~karanA^prawisparXA~meM~honA~{@ed/@en}
contender	mukAbalA~karane~vAlA{0}
contenders'	mukAbalA~karane~vAlA{ba.}{@vib:kA}
contenders	mukAbalA~karane~vAlA{@s}
contender's	mukAbalA~karane~vAlA{@vib:kA}
contending	BidZanA~{@ing}
contending	vivAxa~karanA^prawisparXA~meM~honA~{@ing}
contends	BidZanA~{@s}
contends	vivAxa~karanA^prawisparXA~meM~honA~{@s}
contend	vivAxa~karanA^prawisparXA~meM~honA{0}
contenteder	saMwqRta/wqpwa~{wara}
contentedest	saMwqRta/wqpwa~{wama}
contentedly	sanwoRapUrvaka
contented	saMwuRta
contented	sanwoRa^nihiwa~vaswu~{@ed/@en}[-]
contenter	sanwoRa^nihiwa~vaswu~{wara}
contentest	nihiwa`^saMwoRa~{wama}
contentest	sanwoRa^nihiwa~vaswu~{wama}
contenting	nihiwa`^saMwoRa~{@ing}
contenting	sanwoRa^nihiwa~vaswu~{@ing}
contentions'	vivAxa/JagadZA^sparXA{ba.}{@vib:kA}
contentions	vivAxa/JagadZA^sparXA{@s}
contention's	vivAxa/JagadZA^sparXA{@vib:kA}
contention	vivAxa/JagadZA^sparXA{0}
contentiouser	vivAxapUrNa~{wara}
contentiousest	vivAxapUrNa~{wama}
contentious	vivAxapUrNa[-]
contentment	sanwoRa{0}
contentments'	sanwoRa{ba.}{@vib:kA}
contentments	sanwoRa{@s}
contentment's	sanwoRa{@vib:kA}
content	nihiwa`[sanwoRa`]
content	sanwoRa^nihiwa~vaswu[-]{0}
contents	nihiwa`^saMwoRa~{@s}
contents'	nihiwa`^saMwoRa{@s}{@vib:kA}
content's	nihiwa`^saMwoRa{@vib:kA}
contents'	sanwoRa^nihiwa~vaswu{ba.}{@vib:kA}
contents	sanwoRa^nihiwa~vaswu~{@s}
content's	sanwoRa^nihiwa~vaswu{@vib:kA}
contestant	prawiyog
contested	prawiyogiwA^saMGarRa~{@ed/@en}
contested	sparXA~[karanA]/cunOwI~[xenA]~{@ed/@en}
contesting	prawiyogiwA^saMGarRa~{@ing}
contesting	sparXA~[karanA]/cunOwI~[xenA]~{@ing}
contest	prawiyogiwA^saMGarRa{0}
contest	sparXA~[karanA]/cunOwI~[xenA]{0}
contests'	prawiyogiwA^saMGarRa{ba.}{@vib:kA}
contests	prawiyogiwA^saMGarRa~{@s}
contest's	prawiyogiwA^saMGarRa{@vib:kA}
contests	sparXA~[karanA]/cunOwI~[xenA]~{@s}
contests'	sparXA~[karanA]/cunOwI~[xenA]{@s}{@vib:kA}
contest's	sparXA~[karanA]/cunOwI~[xenA]{@vib:kA}
context	saMxarBa{0}
context	sanxarBa{0}
context-sensitive	saMxarBa~sugrAhI
contexts	saMxarBa{@s}
contexts'	saMxarBa{@s}{@vib:kA}
context's	saMxarBa{@vib:kA}
contexts'	sanxarBa{ba.}{@vib:kA}
contexts	sanxarBa{@s}
context's	sanxarBa{@vib:kA}
contextualer	prakaraNa-sambanXI~{wara}
contextualest	prakaraNa-sambanXI~{wama}
contextual	prakaraNa-sambanXI[-]
contigent	prAsaMgika/tolI
contiguouser	nikatavarwI/samIpasWa~{wara}
contiguousest	nikatavarwI/samIpasWa~{wama}
contiguous	nikatavarwI/samIpasWa[-]
continental	mahAxvIpa~saMbaMXI[-]
continental	mahAxvIpIya[-]
continent	AwmasaMyamI/mahAxvIpa[-]
continent	AwmasaMyamI/mahAxvIpa[-]
continenter	AwmasaMyamI/mahAxvIpa~{wara}
continentest	AwmasaMyamI/mahAxvIpa~{wama}
continentest	AwmasaMyamI/mahAxvIpa~{wama}
continents'	AwmasaMyamI/mahAxvIpa{ba.}{@vib:kA}
continents	AwmasaMyamI/mahAxvIpa{@s}
continents'	AwmasaMyamI/mahAxvIpa{@s}{@vib:kA}
continent's	AwmasaMyamI/mahAxvIpa{@vib:kA}
continent's	AwmasaMyamI/mahAxvIpa{@vib:kA}
continents	mahAxvIpa{@s}
contingencies	saMBAvyawA{@s}
contingencies'	saMBAvyawA{@s}{@vib:kA}
contingencies'	saMyogavaSAw{ba.}{@vib:kA}
contingencies	saMyogavaSAw{@s}
contingency	saMBAvyawA{0}
contingency	saMyogavaSAw{0}
contingency's	saMBAvyawA{@vib:kA}
contingency's	saMyogavaSAw{@vib:kA}
contingent	Akasmika/sEnya~xala[-]
contingenter	Akasmika/sEnya~xala~{wara}
contingentest	Akasmika/sEnya~xala~{wama}
contingent	prAsaMgika
contingents'	Akasmika/sEnya~xala{ba.}{@vib:kA}
contingents	Akasmika/sEnya~xala{@s}
contingent's	Akasmika/sEnya~xala{@vib:kA}
continual	avirawa[-]
continualer	avirawa~{wara}
continualest	avirawa~{wama}
continually	lagAwAra
continually	niraMwara
continuance	silasilA{0}
continuances'	silasilA{ba.}{@vib:kA}
continuances	silasilA{@s}
continuance's	silasilA{@vib:kA}
continua	pravAha{@s}
continua's	pravAha{ba.}{@vib:kA}
continuation	banAe~raKanA{0}
continuation	ke~krama~meM{0}
continuations	banAe~raKanA{@s}
continuations'	banAe~raKanA{@s}{@vib:kA}
continuation's	banAe~raKanA{@vib:kA}
continuations'	ke~krama~meM{ba.}{@vib:kA}
continuations	ke~krama~meM{@s}
continuation's	ke~krama~meM{@vib:kA}
continued	jArI~rahanA2~{@ed/@en}
continued	jArI~rahanA~{@ed/@en}
continue	jArI~rahanA{0}
continue	jArI~rahanA2{0}
continues	jArI~rahanA2~{@s}
continues	jArI~rahanA~{@s}
continuing	jArI~rahanA2~{@ing}
continuing	jArI~rahanA~{@ing}
continuities'	niraMwarawA{ba.}{@vib:kA}
continuities	niraMwarawA{@s}
continuities	niraMwarawA{@s}
continuities'	niraMwarawA{@s}{@vib:kA}
continuity	niraMwarawA{0}
continuity	niraMwarawA{0}
continuity's	niraMwarawA{@vib:kA}
continuity's	niraMwarawA{@vib:kA}
continuouser	lAgAwAra~{wara}
continuousest	lAgAwAra~{wama}
continuousest	niraMwara~{wama}
continuous	lAgAwAra[-]
continuously	lagAwAra
continuous	niraMwara[-]
continuum	pravAha{0}
continuums'	pravAha{ba.}{@vib:kA}
continuums	pravAha{@s}
continuum's	pravAha{@vib:kA}
contorted	EMTanA~{@ed/@en}[-]
contorteder	EMTIhuI~{wara}
contortedest	EMTIhuI~{wama}
contort	EMTanA{0}
contorting	EMTanA~{@ing}
contortion	SarIra~kI~EMTana{0}
contortions'	SarIra~kI~EMTana{ba.}{@vib:kA}
contortions	SarIra~kI~EMTana{@s}
contortion's	SarIra~kI~EMTana{@vib:kA}
contorts	EMTanA~{@s}
contour	AkAra^rUpareKA{0}
contoured	AkAra^rUpareKA~{@ed/@en}
contoured	parireKA~{@ed/@en}
contouring	AkAra^rUpareKA~{@ing}
contouring	parireKA~{@ing}
contour	parireKA{0}
contours'	AkAra^rUpareKA{ba.}{@vib:kA}
contours	AkAra^rUpareKA~{@s}
contour's	AkAra^rUpareKA{@vib:kA}
contours	parireKA~{@s}
contours'	parireKA{@s}{@vib:kA}
contour's	parireKA{@vib:kA}
contrabander	varjiwa~mAla~{wara}
contrabandest	varjiwa~mAla~{wama}
contrabands'	varjiwa~mAla{ba.}{@vib:kA}
contrabands	varjiwa~mAla{@s}
contraband's	varjiwa~mAla{@vib:kA}
contraband	varjiwa~mAla[-]
contraception	garBa~niroXa{0}
contraceptions'	garBa~niroXa{ba.}{@vib:kA}
contraceptions	garBa~niroXa{@s}
contraception's	garBa~niroXa{@vib:kA}
contraceptive	garBa~niroXaka~xavA~yA~upAya[-]
contraceptiver	garBa~niroXaka~xavA~yA~upAya~{wara}
contraceptives'	garBa~niroXaka~xavA~yA~upAya{ba.}{@vib:kA}
contraceptives	garBa~niroXaka~xavA~yA~upAya{@s}
contraceptive's	garBa~niroXaka~xavA~yA~upAya{@vib:kA}
contraceptivest	garBa~niroXaka~xavA~yA~upAya~{wama}
contracted	karAranAmA/sikudZanA^karAra~karanA~{@ed/@en}
contracted	karAra/sikodZanA1/pakadZanA~{@ed/@en}
contracting	karAranAmA/sikudZanA^karAra~karanA~{@ing}
contracting	karAra/sikodZanA1/pakadZanA~{@ing}
contraction	saMkucana{0}
contractions'	saMkucana{ba.}{@vib:kA}
contractions	saMkucana{@s}
contraction's	saMkucana{@vib:kA}
contract	karAranAmA/sikudZanA^karAra~karanA{0}
contract	karAra/sikodZanA1/pakadZanA{0}
contractors'	TekexAra{ba.}{@vib:kA}
contractors	TekexAra{@s}
contractor's	TekexAra{@vib:kA}
contractor	TekexAra{0}
contracts'	karAranAmA/sikudZanA^karAra~karanA{ba.}{@vib:kA}
contracts	karAranAmA/sikudZanA^karAra~karanA~{@s}
contract's	karAranAmA/sikudZanA^karAra~karanA{@vib:kA}
contracts	karAra/sikodZanA1/pakadZanA~{@s}
contracts'	karAra/sikodZanA1/pakadZanA{@s}{@vib:kA}
contract's	karAra/sikodZanA1/pakadZanA{@vib:kA}
contractualer	TekA~saMbanXI~{wara}
contractualest	TekA~saMbanXI~{wama}
contractually	saMvixA~ke~wahawa
contractual	TekA~saMbanXI[-]
contradicted	viroXa~karanA^viparIwa~honA~{@ed/@en}
contradicting	viroXa~karanA^viparIwa~honA~{@ing}
contradiction	anwarviroXa{0}
contradictions'	anwarviroXa{ba.}{@vib:kA}
contradictions	anwarviroXa{@s}
contradiction's	anwarviroXa{@vib:kA}
contradictorier	anwarviroXI~{wara}
contradictories'	anwarviroXI{ba.}{@vib:kA}
contradictories	anwarviroXI{@s}
contradictoriest	anwarviroXI~{wama}
contradictory	anwarviroXI[-]
contradictory's	anwarviroXI{@vib:kA}
contradicts	viroXa~karanA^viparIwa~honA~{@s}
contradict	viroXa~karanA^viparIwa~honA{0}
contraltoer	nIcA~svara{mahilAoM~kA}~{wara}
contraltoest	nIcA~svara{mahilAoM~kA}~{wama}
contralto	nIcA~svara{mahilAoM~kA}[-]
contraltos'	nIcA~svara{mahilAoM~kA}{ba.}{@vib:kA}
contraltos	nIcA~svara{mahilAoM~kA}{@s}
contralto's	nIcA~svara{mahilAoM~kA}{@vib:kA}
contrarier	viparIwa~{wara}
contraries	prawikUla^haTI{@s}
contraries'	prawikUla^haTI{@s}{@vib:kA}
contrariest	prawikUla^haTI~{wama}
contrariest	viparIwa~{wama}
contraries'	viparIwa{ba.}{@vib:kA}
contraries	viparIwa{@s}
contrary	prawikUla^haTI{0}
contrary's	prawikUla^haTI{@vib:kA}
contrary's	viparIwa{@vib:kA}
contrary	viparIwa{0}
contrast	aMwara~[xiKalAnA]{0}
contrasted	aMwara~[xiKalAnA]~{@ed/@en}
contrasted	viroXa/vyawireka~karanA~{@ed/@en}
contrasting	aMwara~[xiKalAnA]~{@ing}
contrasting	viroXa/vyawireka~karanA~{@ing}
contrasts	aMwara~[xiKalAnA]~{@s}
contrasts'	aMwara~[xiKalAnA]{@s}{@vib:kA}
contrast's	aMwara~[xiKalAnA]{@vib:kA}
contrasts'	viroXa/vyawireka~karanA{ba.}{@vib:kA}
contrasts	viroXa/vyawireka~karanA~{@s}
contrast's	viroXa/vyawireka~karanA{@vib:kA}
contrast	viroXa/vyawireka~karanA{0}
contravened	kAnUna~kA~ullaMGana~karanA~{@ed/@en}
contravene	kAnUna~kA~ullaMGana~karanA{0}
contravenes	kAnUna~kA~ullaMGana~karanA~{@s}
contravening	kAnUna~kA~ullaMGana~karanA~{@ing}
contravention	ullaMGana
contretemps	aniRta{0}
contretempses'	aniRta{ba.}{@vib:kA}
contretempses	aniRta{@s}
contretemps's	aniRta{@vib:kA}
contribute	aMSaxAna~karanA{0}
contributed	aMSaxAna~karanA~{@ed/@en}
contributed	sahayoga~xenA^sahAyawA~karanA/caMxA~xenA~{@ed/@en}
contribute	sahayoga~xenA^sahAyawA~karanA/caMxA~xenA{0}
contributes	aMSaxAna~karanA~{@s}
contributes	sahayoga~xenA^sahAyawA~karanA/caMxA~xenA~{@s}
contributing	aMSaxAna~karanA~{@ing}
contributing	sahayoga~xenA^sahAyawA~karanA/caMxA~xenA~{@ing}
contribution	aMSaxAna/leKa{0}
contributions	aMSaxAna/leKa{@s}
contributions'	aMSaxAna/leKa{@s}{@vib:kA}
contribution's	aMSaxAna/leKa{@vib:kA}
contributions'	yogaxAna/BAga^hissA{xiyA~huA}{ba.}{@vib:kA}
contributions	yogaxAna/BAga^hissA{xiyA~huA}{@s}
contribution's	yogaxAna/BAga^hissA{xiyA~huA}{@vib:kA}
contribution	yogaxAna/BAga^hissA{xiyA~huA}{0}
contributor	aMSa~xAwA{0}
contributorier	aMSaxAyI~{wara}
contributories'	aMSaxAyI{ba.}{@vib:kA}
contributories	aMSaxAyI{@s}
contributoriest	aMSaxAyI~{wama}
contributors'	aMSa~xAwA{ba.}{@vib:kA}
contributors	aMSa~xAwA{@s}
contributor's	aMSa~xAwA{@vib:kA}
contributory	aMSaxAyI[-]
contributory	aMSaxAyI
contributory's	aMSaxAyI{@vib:kA}
contrite	manovyaWiwa[-]
contriter	manovyaWiwa~{wara}
contritest	manovyaWiwa~{wama}
contrition	paScAwApa{0}
contritions'	paScAwApa{ba.}{@vib:kA}
contritions	paScAwApa{@s}
contrition's	paScAwApa{@vib:kA}
contrivances'	yukwi^yanwra{ba.}{@vib:kA}
contrivances	yukwi^yanwra{@s}
contrivance's	yukwi^yanwra{@vib:kA}
contrivance	yukwi^yanwra{0}
contriveder	kAlpanika~{wara}
contrivedest	kAlpanika~{wama}
contrived	yukwi~nikAlanA{samBavawaH~Cala~ke~lie}/yukwi~nikAlanA~{@ed/@en}[-]
contrives	yukwi~nikAlanA{samBavawaH~Cala~ke~lie}/yukwi~nikAlanA~{@s}
contrive	yukwi~nikAlanA{samBavawaH~Cala~ke~lie}/yukwi~nikAlanA{0}
contriving	yukwi~nikAlanA{samBavawaH~Cala~ke~lie}/yukwi~nikAlanA~{@ing}
controllable	niyanwraNIya[-]
controllabler	niyanwraNIya~{wara}
controllablest	niyanwraNIya~{wama}
controlled	niyaMwraNa^saMyamiwa~[karanA]~{@ed/@en}
controlled	niyaMwraNa/vaSa~meM~raKanA~{@ed/@en}
controller	niyaMwraka{0}
controllers'	niyaMwraka{ba.}{@vib:kA}
controllers	niyaMwraka{@s}
controller's	niyaMwraka{@vib:kA}
controlling	niyaMwraNa^saMyamiwa~[karanA]~{@ing}
controlling	niyaMwraNa/vaSa~meM~raKanA~{@ing}
control	niyaMwraNa^saMyamiwa~[karanA]{0}
control	niyaMwraNa/vaSa~meM~raKanA{0}
controls	niyaMwraNa^saMyamiwa~[karanA]~{@s}
controls'	niyaMwraNa^saMyamiwa~[karanA]{@s}{@vib:kA}
control's	niyaMwraNa^saMyamiwa~[karanA]{@vib:kA}
controls'	niyaMwraNa/vaSa~meM~raKanA{ba.}{@vib:kA}
controls	niyaMwraNa/vaSa~meM~raKanA~{@s}
control's	niyaMwraNa/vaSa~meM~raKanA{@vib:kA}
controversial	vivAxAspaxa[-]
controversies'	vivAxa{ba.}{@vib:kA}
controversies	vivAxa{@s}
controversies	vivAxa{@s}
controversies'	vivAxa{@s}{@vib:kA}
controversy's	vivAxa{@vib:kA}
controversy's	vivAxa{@vib:kA}
controversy	vivAxa{0}
controversy	vivAxa{0}
controverted	KaNdana~karanA~{@ed/@en}
controverting	KaNdana~karanA~{@ing}
controvert	KaNdana~karanA{0}
controverts	KaNdana~karanA~{@s}
contusion	BIwarI~cota{0}
contusions'	BIwarI~cota{ba.}{@vib:kA}
contusions	BIwarI~cota{@s}
contusion's	BIwarI~cota{@vib:kA}
conundrum	pahelI{0}
conundrums'	pahelI{ba.}{@vib:kA}
conundrums	pahelI{@s}
conundrum's	pahelI{@vib:kA}
conurbation	mahAnagara{0}
conurbations'	mahAnagara{ba.}{@vib:kA}
conurbations	mahAnagara{@s}
conurbation's	mahAnagara{@vib:kA}
convalesced	svAsWyalABa~karanA~{@ed/@en}
convalescences'	svAsWyalABa{ba.}{@vib:kA}
convalescences	svAsWyalABa{@s}
convalescence's	svAsWyalABa{@vib:kA}
convalescence	svAsWyalABa{0}
convalescenter	svAsWya~lABakArI~{wara}
convalescentest	svAsWya~lABakArI~{wama}
convalescents'	svAsWya~lABakArI{ba.}{@vib:kA}
convalescents	svAsWya~lABakArI{@s}
convalescent's	svAsWya~lABakArI{@vib:kA}
convalescent	svAsWya~lABakArI[-]
convalesces	svAsWyalABa~karanA~{@s}
convalesce	svAsWyalABa~karanA{0}
convalescing	svAsWyalABa~karanA~{@ing}
convection	saMvahana{0}
convections'	saMvahana{ba.}{@vib:kA}
convections	saMvahana{@s}
convection's	saMvahana{@vib:kA}
convector	saMvahanakAraka{0}
convectors'	saMvahanakAraka{ba.}{@vib:kA}
convectors	saMvahanakAraka{@s}
convector's	saMvahanakAraka{@vib:kA}
convenant	prasaMvixA/prawijFApawra
convened	ekawra~honA/baturanA/Ayojana~karanA^ekawra~karanA~{@ed/@en}
convened	saMyojana^saMyojiwa~karanA~{@ed/@en}
convene	ekawra~honA/baturanA/Ayojana~karanA^ekawra~karanA{0}
convener	vyApAra-saMGa~saMyojaka^saMyojaka
convene	saMyojana^saMyojiwa~karanA{0}
convenes	ekawra~honA/baturanA/Ayojana~karanA^ekawra~karanA~{@s}
convenes	saMyojana^saMyojiwa~karanA~{@s}
conveniences'	suviXA{ba.}{@vib:kA}
conveniences	suviXA{@s}
conveniences	suviXA{@s}
conveniences'	suviXA{@s}{@vib:kA}
convenience's	suviXA{@vib:kA}
convenience's	suviXA{@vib:kA}
convenience	suviXA{0}
convenience	suviXA{0}
convenienter	suviXA~janaka^samIpa~sugamya~{wara}
convenientest	suviXA~janaka^samIpa~sugamya~{wama}
convenientest	suviXAjanaka/samIpa~sWiwa~{wama}
conveniently	AsAnI~se^suviXAjanaka~DaMga~se
convenient	suviXA~janaka^samIpa~sugamya[-]
convenient	suviXAjanaka/samIpa~sWiwa[-]
convening	ekawra~honA/baturanA/Ayojana~karanA^ekawra~karanA~{@ing}
convening	saMyojana^saMyojiwa~karanA~{@ing}
conveniniently	suviXApUrvaka
conventionaler	rUDZigawa/paramparAgawa~{wara}
conventionalest	pAraMparika~{wama}
conventionalest	rUDZigawa/paramparAgawa~{wama}
conventionalities'	rUDZi{ba.}{@vib:kA}
conventionalities	rUDZi{@s}
conventionality	rUDZi{0}
conventionality's	rUDZi{@vib:kA}
conventionally	paraMparAgawa~DaMga~se
conventional	pAraMparika[-]
conventional	rUDZigawa/paramparAgawa[-]
conventionals	pAraMparika{@s}
conventionals'	pAraMparika{@s}{@vib:kA}
conventional's	pAraMparika{@vib:kA}
conventionals'	rUDZigawa/paramparAgawa{ba.}{@vib:kA}
conventionals	rUDZigawa/paramparAgawa{@s}
conventional's	rUDZigawa/paramparAgawa{@vib:kA}
convention	paraMparA[>sammelana]{0}
convention	sammelana^rivAjZa{0}
conventions	paraMparA[>sammelana]{@s}
conventions'	paraMparA[>sammelana]{@s}{@vib:kA}
convention's	paraMparA[>sammelana]{@vib:kA}
conventions'	sammelana^rivAjZa{ba.}{@vib:kA}
conventions	sammelana^rivAjZa{@s}
convention's	sammelana^rivAjZa{@vib:kA}
convent	kAnveMta{0}
convents'	kAnveMta{ba.}{@vib:kA}
convents	kAnveMta{@s}
convent's	kAnveMta{@vib:kA}
converged	eka~biMxu~kI~ora~jAnA~{@ed/@en}
converge	eka~biMxu~kI~ora~jAnA{0}
convergence	aBisaraNa^saMsqwi{0}
convergences'	aBisaraNa^saMsqwi{ba.}{@vib:kA}
convergences	aBisaraNa^saMsqwi{@s}
convergence's	aBisaraNa^saMsqwi{@vib:kA}
convergenter	saMsqwa~{wara}
convergentest	saMsqwa~{wama}
convergent	saMsqwa[-]
converges	eka~biMxu~kI~ora~jAnA~{@s}
converging	eka~biMxu~kI~ora~jAnA~{@ing}
conversanter	jAnakAra~{wara}
conversantest	jAnakAra~{wama}
conversant	jAnakAra[-]
conversational	bAwacIwa~saMbanXI[-]
conversationaler	bAwacIwa~saMbanXI~{wara}
conversationalest	bAwacIwa~saMbanXI~{wama}
conversationalist	saMvAxapatu
conversational	saMvAxI
conversations'	vArwAlApa/saMBARaNa{ba.}{@vib:kA}
conversations	vArwAlApa/saMBARaNa{@s}
conversation's	vArwAlApa/saMBARaNa{@vib:kA}
conversations	vArwAlApa{@s}
conversations'	vArwAlApa{@s}{@vib:kA}
conversation's	vArwAlApa{@vib:kA}
conversation	vArwAlApa{0}
conversation	vArwAlApa/saMBARaNa{0}
conversed	vArwAlApa~karanA~{@ed/@en}
conversely	ulatA
converser	viparIwa/viparIwa/vArwAlApa~karanA~{wara}
conversest	viparIwa/vArwAlApa~karanA~{wama}
converses'	viparIwa/vArwAlApa~karanA{ba.}{@vib:kA}
converses	viparIwa/vArwAlApa~karanA~{@s}
converse's	viparIwa/vArwAlApa~karanA{@vib:kA}
converse	viparIwa/vArwAlApa~karanA[-]{0}
conversing	vArwAlApa~karanA~{@ing}
conversion	rUpAnwara^mawa~parivarwana{0}
conversion	saMparivarwana^baxalAva{0}
conversions'	rUpAnwara^mawa~parivarwana{ba.}{@vib:kA}
